date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:24:09	359/359	---M-Z	200	added ('OK')	text/plain	date:Fri,%2006%20Jun%202025%2021:08:00%20GMT	https://www.youtube.com/robots.txt		(from )
13:24:09	745448/745448	---MCZ	200	added ('OK')	text/html	date:Sun,%2026%20Apr%202026%2013:24:08%20GMT	https://www.youtube.com/	youtube/www.youtube.com/index.html	(from )
13:24:09	0/0	---M--	204	error ('No%20Content')	text/html	date:Sun,%2026%20Apr%202026%2013:24:09%20GMT	https://www.youtube.com/error_204?t=jserror&level=ERROR	youtube/www.youtube.com/error_204.09a45.delayed	(from https://www.youtube.com/)
13:24:10	1150/1150	---M-Z	200	added ('OK')	image/x-icon	date:Fri,%2024%20Apr%202026%2011:17:36%20GMT	https://www.youtube.com/s/desktop/40cd5ddc/img/favicon.ico	youtube/www.youtube.com/s/desktop/40cd5ddc/img/favicon.ico	(from https://www.youtube.com/)
13:24:11	3214/3214	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Apr%202026%2011:17:36%20GMT	https://www.youtube.com/s/desktop/40cd5ddc/img/favicon_32x32.png	youtube/www.youtube.com/s/desktop/40cd5ddc/img/favicon_32x32.png	(from https://www.youtube.com/)
13:24:12	3490/3490	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Apr%202026%2011:17:36%20GMT	https://www.youtube.com/s/desktop/40cd5ddc/img/favicon_48x48.png	youtube/www.youtube.com/s/desktop/40cd5ddc/img/favicon_48x48.png	(from https://www.youtube.com/)
13:24:13	4249/4249	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Apr%202026%2011:17:36%20GMT	https://www.youtube.com/s/desktop/40cd5ddc/img/favicon_96x96.png	youtube/www.youtube.com/s/desktop/40cd5ddc/img/favicon_96x96.png	(from https://www.youtube.com/)
13:24:14	5020/5020	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Apr%202026%2011:17:36%20GMT	https://www.youtube.com/s/desktop/40cd5ddc/img/favicon_144x144.png	youtube/www.youtube.com/s/desktop/40cd5ddc/img/favicon_144x144.png	(from https://www.youtube.com/)
13:24:16	50864/50864	---M--	200	added ('OK')	text/javascript	date:Fri,%2024%20Apr%202026%2011:17:36%20GMT	https://www.youtube.com/s/desktop/40cd5ddc/jsbin/web-animations-next-lite.min.vflset/web-animations-next-lite.min.js	youtube/www.youtube.com/s/desktop/40cd5ddc/jsbin/web-animations-next-lite.min.vflset/web-animations-next-lite.min.js	(from https://www.youtube.com/)
13:24:17	0/0	---M--	303	error ('See%20Other')	application/binary	date:Sun,%2026%20Apr%202026%2013:24:15%20GMT	https://www.youtube.com/ios-app://544007664/vnd.youtube/www.youtube.com/	youtube/www.youtube.com/ios-app_/544007664/vnd.youtube/www.youtube.com/index.html	(from https://www.youtube.com/)
13:24:17	0/0	---M--	303	error ('See%20Other')	application/binary	date:Sun,%2026%20Apr%202026%2013:24:15%20GMT	https://www.youtube.com/android-app://com.google.android.youtube/http/www.youtube.com/	youtube/www.youtube.com/android-app_/com.google.android.youtube/http/www.youtube.com/index.html	(from https://www.youtube.com/)
13:24:17	113370/113370	---M--	200	added ('OK')	text/javascript	date:Fri,%2024%20Apr%202026%2011:17:36%20GMT	https://www.youtube.com/s/desktop/40cd5ddc/jsbin/webcomponents-all-noPatch.vflset/webcomponents-all-noPatch.js	youtube/www.youtube.com/s/desktop/40cd5ddc/jsbin/webcomponents-all-noPatch.vflset/webcomponents-all-noPatch.js	(from https://www.youtube.com/)
13:24:17	9611/9611	---M--	200	added ('OK')	text/javascript	date:Fri,%2024%20Apr%202026%2011:17:36%20GMT	https://www.youtube.com/s/desktop/40cd5ddc/jsbin/fetch-polyfill.vflset/fetch-polyfill.js	youtube/www.youtube.com/s/desktop/40cd5ddc/jsbin/fetch-polyfill.vflset/fetch-polyfill.js	(from https://www.youtube.com/)
13:24:18	5559/5559	---M--	200	added ('OK')	text/javascript	date:Fri,%2024%20Apr%202026%2022:49:50%20GMT	https://www.youtube.com/s/desktop/40cd5ddc/jsbin/intersection-observer.min.vflset/intersection-observer.min.js	youtube/www.youtube.com/s/desktop/40cd5ddc/jsbin/intersection-observer.min.vflset/intersection-observer.min.js	(from https://www.youtube.com/)
13:24:19	8768/8768	---M--	200	added ('OK')	text/javascript	date:Fri,%2024%20Apr%202026%2011:17:36%20GMT	https://www.youtube.com/s/desktop/40cd5ddc/jsbin/scheduler.vflset/scheduler.js	youtube/www.youtube.com/s/desktop/40cd5ddc/jsbin/scheduler.vflset/scheduler.js	(from https://www.youtube.com/)
13:24:20	5794/5794	---M--	200	added ('OK')	text/javascript	date:Fri,%2024%20Apr%202026%2011:17:36%20GMT	https://www.youtube.com/s/desktop/40cd5ddc/jsbin/www-i18n-constants-en_US.vflset/www-i18n-constants.js	youtube/www.youtube.com/s/desktop/40cd5ddc/jsbin/www-i18n-constants-en_US.vflset/www-i18n-constants.js	(from https://www.youtube.com/)
13:24:22	38138/38138	---M--	200	added ('OK')	text/javascript	date:Fri,%2024%20Apr%202026%2011:17:36%20GMT	https://www.youtube.com/s/desktop/40cd5ddc/jsbin/spf.vflset/spf.js	youtube/www.youtube.com/s/desktop/40cd5ddc/jsbin/spf.vflset/spf.js	(from https://www.youtube.com/)
13:24:23	14141/14141	---M--	200	added ('OK')	text/javascript	date:Fri,%2024%20Apr%202026%2022:49:50%20GMT	https://www.youtube.com/s/desktop/40cd5ddc/jsbin/network.vflset/network.js	youtube/www.youtube.com/s/desktop/40cd5ddc/jsbin/network.vflset/network.js	(from https://www.youtube.com/)
13:24:23	4348/4348	---M--	200	added ('OK')	text/css	date:Fri,%2024%20Apr%202026%2022:49:50%20GMT	https://www.youtube.com/s/desktop/40cd5ddc/cssbin/www-main-desktop-home-page-skeleton.css	youtube/www.youtube.com/s/desktop/40cd5ddc/cssbin/www-main-desktop-home-page-skeleton.css	(from https://www.youtube.com/)
13:24:24	797/797	---M--	200	added ('OK')	text/css	date:Fri,%2024%20Apr%202026%2011:17:36%20GMT	https://www.youtube.com/s/desktop/40cd5ddc/cssbin/www-onepick.css	youtube/www.youtube.com/s/desktop/40cd5ddc/cssbin/www-onepick.css	(from https://www.youtube.com/)
13:24:27	540/540	---MCZ	200	added ('OK')	application/opensearchdescription+xml	date:Sun,%2026%20Apr%202026%2013:24:26%20GMT	https://www.youtube.com/opensearch?locale=en_US	youtube/www.youtube.com/opensearch97fa	(from https://www.youtube.com/)
13:24:27	1878/1878	---MC-	200	added ('OK')	application/manifest+json	date:Sun,%2026%20Apr%202026%2013:24:27%20GMT	https://www.youtube.com/manifest.webmanifest	youtube/www.youtube.com/manifest.webmanifest	(from https://www.youtube.com/)
13:24:34	4252/4252	---MCZ	200	added ('OK')	text/html	date:Sun,%2026%20Apr%202026%2013:24:28%20GMT	https://www.youtube.com/t/impressum?hl=de&gl=DE	youtube/www.youtube.com/t/impressumab02.html	(from https://www.youtube.com/)
13:24:35	219/219	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2026%20Apr%202026%2013:24:28%20GMT	https://www.youtube.com/about/	youtube/www.youtube.com/about/index.html	(from https://www.youtube.com/)
13:24:35	218/218	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2026%20Apr%202026%2013:24:28%20GMT	https://www.youtube.com/about/press/	youtube/www.youtube.com/about/press/index.html	(from https://www.youtube.com/)
